"id","sequence","sourceParagraph","sourceUrl","rowType","dateSourceParagraph","dateExpression","dateKind","startYear","startQualifier","endYear","endQualifier","alternativeYears","description","scriptureReferences","publicationReferences","categories","suggestedType"
"jw-dates-calendar-p152","84","p152","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=152","dated","p152","1593","point","1593","exact","","","","Moses born","","wcg 15; | si 294","birth","person-boundary"
"jw-dates-calendar-p153","85","p153","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=153","dated","p153","c. 1560","point","1560","approximate","","","","Joshua born","","wcg 15","birth","person-boundary"
"jw-dates-calendar-p154","86","p154","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=154","dated","p154","1553","point","1553","exact","","","","Moses (age 40) flees to Midian","","si 294","travel","event"
"jw-dates-calendar-p155","87","p155","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=155","dated","p155","1552","point","1552","exact","","","","Caleb born","","wcg 15","birth","person-boundary"
"jw-dates-calendar-p156","88","p156","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=156","dated","p156","c. 1514","point","1514","approximate","","","","Moses at burning bush","","si 294","other","event"
"jw-dates-calendar-p157","89","p157","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=157","dated","p157","1513","point","1513","exact","","","","Nisan 14 (Abib) (March-April), Moses (age 80) leads Exodus from Egypt","","wcg 15; | it-1 460-461, | 776-777; | nwt 1770; | g 5/12 17; | bm 10; | si 285-286, | 295","other","event"
"jw-dates-calendar-p158","90","p158","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=158","continuation","p157","1513","point","1513","exact","","","","Nisan 14, 400-year affliction ends","Ge 15:13","it-1 776, | 1216; | w16.07 14-15; | si 295","other","event"
"jw-dates-calendar-p159","91","p159","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=159","continuation","p157","1513","point","1513","exact","","","","Nisan 14, 430-year period ends","Ex 12:40, 41; | Ga 3:17","w16.07 14; | si 295","other","event"
"jw-dates-calendar-p160","92","p160","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=160","continuation","p157","1513","point","1513","exact","","","","Nisan 15, Israelites depart Rameses","Nu 33:3","it-1 536","other","event"
"jw-dates-calendar-p161","93","p161","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=161","continuation","p157","1513","point","1513","exact","","","","Nisan, Israelites cross Red Sea, sing victory song, Miriam leads women","Ex 14:1–15:21","it-2 414","other","event"
"jw-dates-calendar-p162","94","p162","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=162","continuation","p157","1513","point","1513","exact","","","","Iyyar (Ziv) (April-May), Israelites reach wilderness of Sin, quail provided, manna begins forming","Ex 16:1-18","it-2 309; | si 22","other","event"
"jw-dates-calendar-p163","95","p163","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=163","continuation","p157","1513","point","1513","exact","","","","Sivan (May-June), Law Covenant with Israel at Sinai","Ex 19:1; | 24:6-8","it-2 599; | nwt 1770; | si 295","covenant","event"
"jw-dates-calendar-p164","96","p164","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=164","continuation","p157","1513","point","1513","exact","","","","ark of the covenant made","Ex 37:1","ijwbq article 118","covenant","event"
"jw-dates-calendar-p165","97","p165","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=165","continuation","p157","1513","point","1513","exact","","","","Genesis written","","it-1 919; | si 13, | 295","writing","event"
"jw-dates-calendar-p166","98","p166","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=166","dated","p166","1512","point","1512","exact","","","","Nisan 1 (Abib) (March-April), tabernacle completed","Ex 40:1, 2, | 17-34","it-2 1058; | nwt 1772; | si 295","other","event"
"jw-dates-calendar-p167","99","p167","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=167","continuation","p166","1512","point","1512","exact","","","","Nisan 1-7, Aaronic priesthood installed","Ex 40:12-15; | Le 8:1-35","it-1 1207-1208; | it-2 683; | si 295","other","event"
"jw-dates-calendar-p168","100","p168","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=168","continuation","p166","1512","point","1512","exact","","","","ark of the covenant inaugurated with tabernacle and priesthood","Ex 40:1-3, | 9, | 20, 21; | Le 8:1-10","ijwbq article 118; | it-1 166","covenant","event"
"jw-dates-calendar-p169","101","p169","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=169","continuation","p166","1512","point","1512","exact","","","","Exodus written","","si 19-20, | 295","writing","event"
"jw-dates-calendar-p170","102","p170","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=170","continuation","p166","1512","point","1512","exact","","","","Leviticus written","","si 25, | 295","writing","event"
"jw-dates-calendar-p171","103","p171","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=171","dated","p171","c. 1500","point","1500","approximate","","","","Rahab born","","wcg 15","birth","person-boundary"
"jw-dates-calendar-p172","104","p172","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=172","dated","p172","c. 1474","point","1474","approximate","","","","Amorite kingdom conquered by Israel","De 4:47, 48; | Jos 12:1-6","it-1 178","warfare","event"
"jw-dates-calendar-p173","105","p173","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=173","dated","p173","1474","point","1474","exact","","","","Nisan (Abib) (March-April), Miriam dies at Kadesh","Nu 20:1","ijwia article 7; | it-2 415","death","person-boundary"
"jw-dates-calendar-p174","106","p174","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=174","continuation","p173","1474","point","1474","exact","","","","Ab 1 (July-August), Aaron dies at Mount Hor (age 123)","Nu 33:38, 39","it-1 9; | it-2 439","death","person-boundary"
"jw-dates-calendar-p175","107","p175","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=175","dated","p175","c. 1473","point","1473","approximate","","","","Balaam attempts to curse Israel","","it-1 56","other","event"
"jw-dates-calendar-p176","108","p176","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=176","continuation","p175","c. 1473","point","1473","approximate","","","","census of Israel on Plains of Moab","","it-1 178","other","event"
"jw-dates-calendar-p177","109","p177","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=177","continuation","p175","c. 1473","point","1473","approximate","","","","Job written","","it-2 81-82; | si 95, | 295","writing","event"
"jw-dates-calendar-p178","110","p178","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=178","dated","p178","1473","point","1473","exact","","","","Numbers written","","it-2 514; | si 30, | 295","writing","event"
"jw-dates-calendar-p179","111","p179","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=179","continuation","p178","1473","point","1473","exact","","","","Shebat (January-February), covenant with Israel at Moab","","it-1 523-524; | si 295","covenant","event"
"jw-dates-calendar-p180","112","p180","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=180","continuation","p178","1473","point","1473","exact","","","","Shebat, Deuteronomy written","","it-1 620; | si 36-37, | 295","writing","event"
"jw-dates-calendar-p181","113","p181","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=181","continuation","p178","1473","point","1473","exact","","","","Adar (February-March), Joshua commissioned","","it-2 439; | nwt 1770","other","event"
